"","X","schlcode","c_size","c_boys","c_girls","c_numcl","c_pik","c_status","c_leom","c_tip","c_num4rd","c_type","flgrm4","mrkgrm4","ngrm4","flmth4","mrkmth4","nmth4","towncode","popcode","tip_a","grade","classid","classize","X_type_","X_freq_","cohsize","mathsize","avgmath","passmath","verbsize","avgverb","passverb","studchk","misskov2","missagg","nmiss_k","nmiss_a","classct","math_n","flmath_n","nmath_n","verb_n","flverb_n","nverb_n","impute","nverb_m","nmath_m","tip_s","townid","tipuach"
"38",38,11054,42,42,0,12,2,1,1,2,2,2,33,67,39,48.7799987792969,63,41,30007,12,17,4,1,22,0,2,42,22,58.8199996948242,63.5999984741211,20,67,35,1,0,0,0,0,2,63.1946334838867,48.7707328796387,41,66.6394882202148,33.3435897827148,39,0,NA,NA,17,30007,17
"39",39,11054,42,42,0,12,2,1,1,2,2,2,33,67,39,48.7799987792969,63,41,30007,12,17,4,2,20,0,2,42,19,68.2600021362305,31.6000003814697,19,66.2600021362305,31.6000003814697,1,0,0,0,0,2,63.1946334838867,48.7707328796387,41,66.6394882202148,33.3435897827148,39,0,NA,NA,17,30007,17
"40",40,11058,65,32,33,19,2,1,1,2,2,2,17,72,65,43.939998626709,64,66,30007,12,13,4,2,35,0,1,35,31,63.9700012207031,54.7999992370605,31,72.5800018310547,16.1000003814697,1,0,0,0,0,1,63.9700012207031,54.7999992370605,31,72.5800018310547,16.1000003814697,31,0,NA,NA,13,30007,13
"41",41,11061,50,22,28,17,2,1,1,2,2,2,9,66,44,75.5599975585938,55,45,30007,12,15,4,1,22,0,2,50,22,49.7700004577637,86.4000015258789,20,61.1500015258789,10,1,0,0,1,0,2,49.7700004577637,86.4000015258789,22,61.1500015258789,10,20,0,NA,NA,15,30007,15
"42",42,11061,50,22,28,17,2,1,1,2,2,2,9,66,44,75.5599975585938,55,45,30007,12,15,4,2,28,0,2,50,23,60.0026092529297,65.1913070678711,24,70.0416641235352,8.16666698455811,NA,1,0,1,0,2,49.7700004577637,86.4000015258789,22,61.1500015258789,10,20,1,24,23,15,30007,15
"43",43,11064,21,9,12,9,2,2,1,6,1,1,35,52,20,50,45,20,10157,12,25,4,1,21,0,1,21,20,45.0999984741211,50,20,52.2000007629395,35,1,0,0,0,0,1,45.0999984741211,50,20,52.2000007629395,35,20,0,NA,NA,25,10157,25
"44",44,11065,23,9,14,8,2,2,1,7,1,1,9,66,22,40.9099998474121,60,22,10157,12,42,4,1,23,0,1,23,22,60.3199996948242,40.9000015258789,22,65.8600006103516,9.10000038146973,1,0,0,0,0,1,60.3199996948242,40.9000015258789,22,65.8600006103516,9.10000038146973,22,0,NA,NA,42,10157,42
"45",45,11067,60,34,26,15,2,2,1,5,3,2,35,53,51,60.7799987792969,55,51,8094,12,31,4,2,26,0,2,53,24,56.8300018310547,54.2000007629395,24,59.25,20.7999992370605,1,0,0,1,0,2,56.8300018310547,54.2000007629395,24,59.25,20.7999992370605,24,0,NA,NA,31,8094,31
"46",46,11067,60,34,26,15,2,2,1,5,3,2,35,53,51,60.7799987792969,55,51,8094,12,31,4,1,27,0,2,53,27,53.3733329772949,66.6288909912109,27,47.4444427490234,47.6222229003906,NA,1,0,1,0,2,56.8300018310547,54.2000007629395,24,59.25,20.7999992370605,24,1,27,27,31,8094,31
"47",47,11072,49,26,23,12,2,2,1,5,2,2,13,70,45,33.3300018310547,66,45,7963,12,25,4,1,24,0,2,49,23,64.9599990844727,43.5,23,70.7399978637695,8.69999980926514,1,0,0,0,0,2,66.2897796630859,33.331111907959,45,69.9137802124023,13.3444442749023,45,0,NA,NA,25,7963,25
